text,created_at,text_id_str,lang,retweet_count,retweeted,favorite_count,favorited,co-ordinates, source,user_id_str,name, user_created_at, user_followers_count,user_friend_count,user_screenname,user_description, user_mentions_screenname,tweet_hashtags
"RT @Sequoia_India: Snapdeal + Freecharge. Been a year. Revisiting one of our favourite stories.
https://t.co/auShipjXkq
cc @singh_sequoia @…",Fri Apr 08 09:33:36 +0000 2016,"718371205355597824","en","15","False","0","False","None","<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>","135227064","Kunal Bahl","Tue Apr 20 18:01:58 +0000 2010","38198","1587","1kunalbahl","Creating impact for India through technology.","Sequoia_India,singh_sequoia,kunalb11,1kunalbahl,",""
"Amazing validation and encouragement to see our honourable PM @narendramodi use @FreeCharge! #cashlessIndia https://t.co/StdCeiU8xS",Wed Apr 06 04:42:48 +0000 2016,"717573245143089152","en","54","False","126","False","None","<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>","135227064","Kunal Bahl","Tue Apr 20 18:01:58 +0000 2010","38198","1587","1kunalbahl","Creating impact for India through technology.","narendramodi,FreeCharge,","cashlessIndia,"
"RT @nextbigwhat: . @FreeCharge Will Now Power Digital Payments For E-rickshaw Drivers

https://t.co/IvN8pyob22 https://t.co/N6obTElJR8",Tue Apr 05 20:11:04 +0000 2016,"717444462985617408","en","20","False","0","False","None","<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>","135227064","Kunal Bahl","Tue Apr 20 18:01:58 +0000 2010","38198","1587","1kunalbahl","Creating impact for India through technology.","nextbigwhat,FreeCharge,",""
"RT @FreeCharge: See how @narendramodi pays the cashless way at #StandUpIndia #GoCashlessGoGreen @snapdeal @kunalb11 @1kunalbahl https://t.c…",Tue Apr 05 14:08:42 +0000 2016,"717353271535382528","en","71","False","0","False","None","<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>","135227064","Kunal Bahl","Tue Apr 20 18:01:58 +0000 2010","38198","1587","1kunalbahl","Creating impact for India through technology.","FreeCharge,narendramodi,snapdeal,kunalb11,1kunalbahl,","StandUpIndia,GoCashlessGoGreen,"
"RT @singh_sequoia: In one year since Snapdeal + Freecharge merger, wonderful to see how Freecharge has prospered and continued innovating @…",Thu Mar 31 09:27:29 +0000 2016,"715470560755515392","en","20","False","0","False","None","<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>","135227064","Kunal Bahl","Tue Apr 20 18:01:58 +0000 2010","38198","1587","1kunalbahl","Creating impact for India through technology.","singh_sequoia,1kunalbahl,kunalb11,",""
"Value of a large distributed seller network becomes even more powerful with the latest marketplace guidelines. https://t.co/7kyCAHKs6T",Thu Mar 31 06:27:55 +0000 2016,"715425374058840064","en","20","False","27","False","None","<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>","135227064","Kunal Bahl","Tue Apr 20 18:01:58 +0000 2010","38198","1587","1kunalbahl","Creating impact for India through technology.","",""
"Lotus Temple in Delhi is such a beautiful case study of symmetry. View from the sky. https://t.co/ogoru9SHOB",Thu Mar 31 05:07:18 +0000 2016,"715405083052154880","en","27","False","82","False","None","<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>","135227064","Kunal Bahl","Tue Apr 20 18:01:58 +0000 2010","38198","1587","1kunalbahl","Creating impact for India through technology.","",""
"RT @mcdonaldsindia: Pay with Freecharge &amp; get 100% cashback* on any burger of your choice with the million burger sale.
*T&amp;C Apply. https:/…",Wed Mar 30 13:53:19 +0000 2016,"715175074643324928","en","18","False","0","False","None","<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>","135227064","Kunal Bahl","Tue Apr 20 18:01:58 +0000 2010","38198","1587","1kunalbahl","Creating impact for India through technology.","mcdonaldsindia,",""
"Thanks for all your support @VaniKola! https://t.co/RjcJYNOD21",Tue Mar 29 16:26:47 +0000 2016,"714851308474216448","en","6","False","20","False","None","<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>","135227064","Kunal Bahl","Tue Apr 20 18:01:58 +0000 2010","38198","1587","1kunalbahl","Creating impact for India through technology.","VaniKola,",""
"RT @makeinindia: 100% FDI permitted for e-commerce marketplace model to benefit large no. of Indian sellers registered. #MakeInIndia https:…",Tue Mar 29 15:09:17 +0000 2016,"714831804067229696","en","247","False","0","False","None","<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>","135227064","Kunal Bahl","Tue Apr 20 18:01:58 +0000 2010","38198","1587","1kunalbahl","Creating impact for India through technology.","makeinindia,","MakeInIndia,"
"Always a great feeling when you stick to the course that you believe in, pays off: Focusing on a pure marketplace and not doing inventory.",Tue Mar 29 12:56:59 +0000 2016,"714798507148705793","en","64","False","131","False","None","<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>","135227064","Kunal Bahl","Tue Apr 20 18:01:58 +0000 2010","38198","1587","1kunalbahl","Creating impact for India through technology.","",""
