Twitter Account,Word Count,Analytical Thinking,Clout,Authentic,Emotional tone,Words/sentence,Words > 6 letters,Dictionary words,Total function words,Total pronouns,Personal pronouns,1st pers singular,1st pers plural,2nd person,3rd pers singular,3rd pers plural,Impersonal pronouns,Articles,Prepositions,Auxiliary verbs,Common Adverbs,Conjunctions,Negations,Common verbs,Common adjectives,Comparisons,Interrogatives,Numbers,Quantifiers,Affective processes,Positive emotion,Negative emotion,Anxiety,Anger,Sadness,Social processes,Family,Friends,Female references,Male references,Cognitive processes,Insight,Causation,Discrepancy,Tentative,Certainty,Differentiation,Perceptual processes,See,Hear,Feel,Biological processes,Body,Health,Sexual,Ingestion,Drives,Affiliation,Achievement,Power,Reward,Risk,Past Focus,Present Focus,Future Focus,Relativity,Motion,Space,Time,Work,Leisure,Home,Money,Religion,Death,Informal Language,Swear words,Netspeak,Assent,Nonfluencies,Fillers,All Puntuations,Periods,Commas,Colons,Semicolons,Question marks,Exclamation marks,Dashes,Quotation marks,Apostrophes,Parentheses,Other punctuation
5898,36.73931,98.03449,9.733334,0.170706,0.8097998,0.45416227,0.12223393,0.06796628,0.043203373,0.006322445,0.01369863,0.0021074815,0.0026343518,0.05426765,0.064278185,0.11696523,0.060590096,0.058482613,0.051106427,0.011064278,0.14330874,0.062697574,0.019494204,0.0089567965,0.022655427,0.017913593,0.08113804,0.06691254,0.01264489,0.0010537407,0.0036880928,0.0052687037,0.07692308,0.0026343518,0.011064278,0.0026343518,0.007903056,0.09747102,0.020021075,0.016332982,0.016332982,0.017386723,0.022128556,0.019494204,0.031612225,0.020021075,0.0036880928,0.007903056,0.014752371,0.0031612224,0.0021074815,0.00052687037,0.0031612224,0.08219178,0.032139093,0.017913593,0.022128556,0.017913593,0.0015806112,0.021601686,0.103793465,0.011064278,0.12539515,0.017913593,0.05532139,0.057955742,0.03951528,0.022128556,0.0010537407,0.014225501,0.0026343518,0.0021074815,0.014752371,0.004214963,0.0073761856,0.0021074815,0.0015806112,0.0,0.32455215,0.27660695,0.0031612224,0.00052687037,0.0015806112,0.00052687037,0.0026343518,0.0026343518,0.0031612224,0.006849315,0.017386723,0.009483667
smrdch,2950,80.53834,60.960236,46.0452,73.83785,9.455129,0.18237288,0.7871187,0.4220339,0.092203386,0.055932205,0.023728814,0.008813559,0.010508475,0.007118644,0.0057627116,0.036271185,0.040677965,0.14440678,0.06881356,0.051864408,0.038644068,0.017966101,0.14576271,0.06033898,0.024745762,0.014237288,0.029152542,0.017966101,0.07661017,0.051186442,0.025423728,0.0033898305,0.006101695,0.0077966102,0.07661017,0.0010169492,0.0030508474,0.0023728814,0.007118644,0.093898304,0.018983051,0.016271187,0.011864407,0.01661017,0.015254238,0.024745762,0.023389831,0.0111864405,0.0081355935,0.004745763,0.015932204,0.0044067795,0.0033898305,0.0006779661,0.0044067795,0.104067795,0.02779661,0.025084745,0.029152542,0.03016949,0.006779661,0.027118644,0.104067795,0.012542373,0.15559322,0.018644068,0.075932205,0.06101695,0.042711865,0.020338982,0.0016949152,0.023389831,0.0027118644,0.0016949152,0.016271187,0.0016949152,0.006779661,0.0037288135,0.0033898305,0.00033898305,0.2138983,0.12915254,0.011525423,0.013559322,0.004745763,0.007457627,0.008813559,0.0023728814,0.0013559322,0.019322034,0.0020338984,0.013559322
cmoldow,1238,94.78707,73.299034,53.24178,95.066986,8.842857,0.24878837,0.74555737,0.37802908,0.08319871,0.05654281,0.018578352,0.012924071,0.012924071,0.008077544,0.004038772,0.026655897,0.048465267,0.16235864,0.031502422,0.02746365,0.03796446,0.008077544,0.10743134,0.0549273,0.019386107,0.009693054,0.035541195,0.008885299,0.0638126,0.0549273,0.008885299,0.00080775446,0.0024232634,0.0024232634,0.07754443,0.0024232634,0.004846527,0.0016155089,0.008885299,0.071890146,0.015347335,0.01453958,0.013731825,0.008885299,0.015347335,0.01453958,0.02746365,0.012924071,0.008077544,0.00726979,0.008885299,0.0032310179,0.0016155089,0.0,0.0024232634,0.10743134,0.03311793,0.022617124,0.03957997,0.026655897,0.00726979,0.022617124,0.06138934,0.010500807,0.18820679,0.021001615,0.11147011,0.055735055,0.07431341,0.020193862,0.004846527,0.057350565,0.0016155089,0.0016155089,0.012116317,0.0,0.008885299,0.0016155089,0.00080775446,0.0,0.26979,0.1542811,0.022617124,0.012924071,0.005654281,0.0,0.008077544,0.004038772,0.009693054,0.021001615,0.012924071,0.018578352
willherman,2646,92.41678,58.80685,34.64134,91.18787,7.9939575,0.2101285,0.7369614,0.37906274,0.073696144,0.041194256,0.019652305,0.0049130763,0.011715798,0.0018896448,0.0030234316,0.03212396,0.0808768,0.12169312,0.048374906,0.03968254,0.034391534,0.01058201,0.10695389,0.058956917,0.020030234,0.0143613005,0.023053667,0.017762661,0.06462585,0.052154195,0.012093727,0.0022675737,0.0037792895,0.0022675737,0.055177625,0.0015117158,0.0049130763,0.00037792895,0.0049130763,0.077097505,0.013983371,0.021919878,0.0056689344,0.016250946,0.01058201,0.017384732,0.026832955,0.011715798,0.0045351475,0.0037792895,0.051398337,0.0018896448,0.0037792895,0.00037792895,0.045351475,0.07785337,0.017762661,0.02494331,0.02494331,0.024187453,0.0026455026,0.01814059,0.08201058,0.0060468633,0.14285715,0.017384732,0.07294029,0.051398337,0.03250189,0.057445202,0.0060468633,0.009448224,0.0037792895,0.0015117158,0.008692366,0.0018896448,0.0037792895,0.0018896448,0.0015117158,0.0,0.2883598,0.16024187,0.03628118,0.009070295,0.0018896448,0.007936508,0.0060468633,0.017384732,0.0056689344,0.028722601,0.0037792895,0.011337869
salil,1363,83.17984,58.13189,38.805588,83.25217,8.850649,0.20102714,0.7490829,0.404989,0.09904622,0.06309611,0.035216436,0.0022010272,0.019075569,0.005869406,0.0007336757,0.03595011,0.06382979,0.122523844,0.06823184,0.040352166,0.041819517,0.007336757,0.13793103,0.053558327,0.02567865,0.012472487,0.027879678,0.021276595,0.060895085,0.04622157,0.013939839,0.0014673515,0.0044020545,0.0044020545,0.06969919,0.0007336757,0.0022010272,0.0,0.008070433,0.09317682,0.018341893,0.014673514,0.012472487,0.0132061625,0.019075569,0.027146002,0.026412325,0.011005136,0.01027146,0.005869406,0.017608218,0.0036683786,0.0036683786,0.0,0.008070433,0.06896552,0.018341893,0.01540719,0.02567865,0.02054292,0.00513573,0.022743948,0.10051357,0.007336757,0.13059428,0.02054292,0.07263389,0.03888481,0.048422597,0.01540719,0.0014673515,0.01687454,0.0022010272,0.0022010272,0.009537784,0.0007336757,0.0044020545,0.0036683786,0.0014673515,0.0,0.3081438,0.15040351,0.03374908,0.0132061625,0.0036683786,0.009537784,0.008804109,0.01687454,0.018341893,0.026412325,0.01027146,0.01687454
jeff,1962,87.88566,79.68847,32.6289,99.0,8.384615,0.1880734,0.79765546,0.44036698,0.086136594,0.060652394,0.021406727,0.012232416,0.020387359,0.0025484199,0.004077472,0.0254842,0.067787975,0.14678898,0.062181447,0.041284405,0.056574922,0.0096839955,0.12436289,0.06422018,0.017329255,0.003567788,0.019877676,0.019367991,0.08256881,0.07084607,0.0101936795,0.000509684,0.003058104,0.002038736,0.09836901,0.001529052,0.0091743115,0.001019368,0.004077472,0.07339449,0.008664628,0.01529052,0.01529052,0.020387359,0.0096839955,0.014780836,0.021916412,0.013761468,0.0045871558,0.005606524,0.008664628,0.002038736,0.0025484199,0.0,0.004077472,0.11671764,0.03975535,0.047400612,0.022426097,0.029051987,0.000509684,0.022426097,0.08256881,0.0127421,0.1559633,0.03058104,0.07186545,0.06523955,0.04994903,0.019877676,0.003058104,0.0127421,0.0025484199,0.000509684,0.024974516,0.002038736,0.0096839955,0.00764526,0.004077472,0.0,0.26248726,0.11416922,0.029561672,0.00764526,0.00764526,0.0045871558,0.04230377,0.003058104,0.0101936795,0.019367991,0.0101936795,0.013761468
bandrew,2304,74.39142,46.875,59.764263,58.617523,9.365853,0.20052083,0.80859375,0.44444445,0.105034724,0.059895832,0.036458332,0.007378472,0.009114583,0.0034722222,0.0034722222,0.045138888,0.06814236,0.123697914,0.074652776,0.059027776,0.049913194,0.016493056,0.14930555,0.051215276,0.021267362,0.012152778,0.023003472,0.0234375,0.0703125,0.043402776,0.026041666,0.004340278,0.0065104165,0.006076389,0.069010414,0.004340278,0.0026041667,0.002170139,0.005642361,0.11935764,0.019965278,0.019097222,0.013020833,0.026909722,0.018663194,0.036024306,0.029513888,0.011284722,0.01171875,0.0047743055,0.019097222,0.005642361,0.00390625,0.002170139,0.0065104165,0.07248264,0.023871528,0.019097222,0.023003472,0.013020833,0.0026041667,0.01953125,0.108940974,0.017361112,0.14887153,0.021267362,0.071614586,0.059027776,0.029513888,0.019965278,0.00390625,0.011284722,0.002170139,0.0013020834,0.017361112,0.004340278,0.0065104165,0.004340278,0.0026041667,0.0,0.28038195,0.1375868,0.025607638,0.0052083335,0.002170139,0.008680556,0.01171875,0.005642361,0.014322917,0.039496526,0.019097222,0.010850694
SteveCase,767,91.03469,71.68879,32.3627,52.68318,10.506849,0.23859191,0.7809648,0.41460234,0.075619295,0.028683182,0.0026075619,0.009126467,0.009126467,0.0013037809,0.006518905,0.046936113,0.06779661,0.15254237,0.07170796,0.049543675,0.028683182,0.011734028,0.15123859,0.057366364,0.019556714,0.028683182,0.019556714,0.0104302475,0.049543675,0.031290743,0.016949153,0.006518905,0.0013037809,0.0013037809,0.066492826,0.0,0.0,0.0,0.0013037809,0.10821382,0.032594524,0.029986963,0.019556714,0.011734028,0.011734028,0.01303781,0.027379401,0.007822686,0.007822686,0.009126467,0.031290743,0.006518905,0.015645372,0.0026075619,0.011734028,0.11082138,0.019556714,0.031290743,0.050847456,0.016949153,0.009126467,0.014341591,0.116036505,0.011734028,0.15514994,0.01303781,0.08083442,0.061277706,0.075619295,0.006518905,0.0026075619,0.011734028,0.0013037809,0.0013037809,0.0013037809,0.0,0.0013037809,0.0,0.0,0.0,0.31160367,0.12255541,0.009126467,0.006518905,0.009126467,0.006518905,0.0026075619,0.01303781,0.08996089,0.037809648,0.0026075619,0.011734028
JoeMontana,1689,90.509155,64.11705,68.66357,96.20363,7.343478,0.15038484,0.7880403,0.41030195,0.09709887,0.06749556,0.04144464,0.012433393,0.01124926,0.001776199,0.0005920663,0.029603316,0.05565423,0.14920071,0.06631143,0.02901125,0.024866786,0.008880994,0.1651865,0.050325636,0.023090586,0.012433393,0.04381291,0.024866786,0.06631143,0.05743043,0.008880994,0.0011841326,0.003552398,0.001776199,0.07815275,0.0005920663,0.003552398,0.0011841326,0.005328597,0.066903494,0.017169923,0.010065127,0.007104796,0.011841326,0.008880994,0.015393724,0.032563645,0.02249852,0.005920663,0.003552398,0.01124926,0.003552398,0.0047365306,0.0,0.0029603315,0.117821194,0.04499704,0.025458852,0.034339845,0.030195381,0.0047365306,0.013617525,0.13380699,0.021906454,0.1740675,0.030195381,0.07637656,0.069863826,0.023682652,0.04203671,0.0029603315,0.0029603315,0.0011841326,0.0,0.014801658,0.0,0.008880994,0.0029603315,0.0011841326,0.0,0.3143872,0.13499112,0.01598579,0.011841326,0.017761989,0.007696862,0.05565423,0.010065127,0.004144464,0.023682652,0.005920663,0.026642984
bnb,1624,94.75139,59.73222,39.057526,99.0,8.160804,0.23583744,0.72229064,0.38300493,0.048029557,0.024014778,0.0123152705,0.004310345,0.0049261083,0.0,0.0024630541,0.024014778,0.051108375,0.16687192,0.05049261,0.042487685,0.042487685,0.0123152705,0.11945813,0.061576355,0.019704433,0.0123152705,0.016625615,0.023399014,0.08066502,0.073891625,0.006773399,0.0012315271,0.0012315271,0.0018472907,0.058497537,0.00061576354,0.0036945813,0.00061576354,0.0024630541,0.093596056,0.022783251,0.02955665,0.01046798,0.01046798,0.0123152705,0.018472906,0.023399014,0.00862069,0.008004926,0.004310345,0.005541872,0.0012315271,0.0012315271,0.0,0.00061576354,0.1046798,0.02586207,0.02093596,0.023399014,0.038793102,0.0030788176,0.013546798,0.092980295,0.006773399,0.1502463,0.016009852,0.08866995,0.048029557,0.039408866,0.009236453,0.0030788176,0.016625615,0.00061576354,0.0012315271,0.01724138,0.0,0.009852217,0.0030788176,0.0030788176,0.0,0.23337439,0.14347291,0.00862069,0.006773399,0.009852217,0.0018472907,0.0073891627,0.0030788176,0.006773399,0.01724138,0.008004926,0.020320198
