Screen Name,Name,Description,URL,Location,Time Zone,Number of Tweets,Followers Count,Following ,Listed
@OverDriveSteve,Steve Potash,Digital books are my life,http://t.co/aMyL5wngBC,"Cleveland, Ohio USA",Eastern Time (US & Canada),297,693,286,45
@fredshilmover,Fred Shilmover,"CEO and Founder, InsightSquared",http://t.co/1Trwbsg2BG,Boston,Eastern Time (US & Canada),385,1862,405,80
@MNightShyamalan,M. Night Shyamalan,Locked my keys in my rental car three times when I first went out for meetings in LA.,http://t.co/ZjfWvtu1Db,,Eastern Time (US & Canada),1831,61540,77,966
@michaelrburcham,Michael Burcham,"Entrepreneur, Healthcare Executive, Strategist, Teacher.",http://t.co/IlSXl0L1Wp,"Nashville, TN",Central Time (US & Canada),2441,5695,89,189
@unity3d,Unity,"Unity brings state-of-the-art, affordable multiplatform tools and services to developers of interactive content everywhere.",https://t.co/1NyEHfwhpH,,Copenhagen,12002,208476,1034,3096
@hesky,hesky,"Serial entrepreneur -co-founder,Shoplocal ,HighGeramedia, CareDox",,,Pacific Time (US & Canada),746,931,173,110
@sethpollack,Seth Pollack,"Tech dude, photographer, climber, husband, father; co-founder of @RivalIQ; creator of @aviforecast",http://t.co/g3lJUaEfjC,"Seattle, WA",Pacific Time (US & Canada),658,140,134,29
@avidl,Avid LarizadehDuggan,"General Partner @GoogleVentures http://t.co/CYCj6Y8fxf cofounder and UK http://t.co/32TV1N2T1n lead. Entrepreneur, advisor, investor.",,UK,London,164,2715,118,146
@dougmandell,Doug Mandell,"General counsel to start-ups; Personal GC to founders, entrepreneurs and CEOs; first GC at LinkedIn; advisor to tech companies; avid photography collector.",http://t.co/GtNP6FNPMs,San Francisco Bay Area,Pacific Time (US & Canada),199,666,539,44
@JoelEnglander,Joel Englander,"Investor,Technologist, Entrepreneur....nerd",,San Francisco,Pacific Time (US & Canada),4950,194,74,11
@mazydar,Mazy Dar,"Co-Founder and CEO @openfintech, FinTech entrepreneur, angel investor based in NYC",,New York,Eastern Time (US & Canada),232,440,133,61
