Twitter Account,raw_scores achievement_driven,raw_scores adjustment,raw_scores agreeable,raw_scores body_focus,raw_scores cold,raw_scores conscientious,raw_scores depression, raw_scores extraversion,raw_scores family_oriented,raw_scores food_focus,raw_scores friend_focus,raw_scores happiness,raw_scores health_oriented,raw_scores impulsive,raw_scores independent,raw_scores insecure,raw_scores leisure_oriented,raw_scores money_oriented,raw_scores netspeak_focus,raw_scores neuroticism,raw_scores openness,raw_scores persuasive,raw_scores power_driven,raw_scores religion_oriented,raw_scores reward_bias,raw_scores sexual_focus,raw_scores social_skills,raw_scores thinking_style,raw_scores type_a,raw_scores work_oriented,raw_scores workhorse,percentiles achievement_driven,percentiles adjustment,percentiles agreeable,percentiles body_focus,percentiles cold,percentiles conscientious,percentiles depression,percentiles extraversion,percentiles family_oriented,percentiles food_focus,percentiles friend_focus,percentiles happiness,percentiles health_oriented,percentiles impulsive,percentiles independent,percentiles insecure,percentiles leisure_oriented,percentiles money_oriented,percentiles netspeak_focus,percentiles neuroticism,percentiles openness,percentiles persuasive,percentiles power_driven,percentiles religion_oriented,percentiles reward_bias,percentiles sexual_focus,percentiles social_skills,percentiles thinking_style,percentiles type_a,percentiles work_oriented,percentiles workhorse
getgili,6.313897980011358,3.367672516243956,4.123497096699005,0.0,-3.288694026962383,3.69684160235347,-3.809607584198362,4.88575686870198,1.558888668897328,0.0,0.7125891,9.382943202798714,0.2375297,-2.253898067305633,-2.883559439047617,-3.9777118947984813,0.9501188,2.5,0.9501188,0.19895370129144296,3.371962214074008,1.031777824688075,12.475527518423345,0.4750594,3.5629454999999997,0.0,1.830634310970592,1.4365707623524733,8.080289764930882,2.5,0.3508151963577572,90.7558728978932,99,97.89429418445847,26.88932439562619,7.687327275336635,98.63473540988812,1,94.85929117134357,13.504645591715853,36.90316610452883,96.19140222167017,97.47670148978226,42.14881460094802,1.4564737054926065,86.4783372645302,1,61.98869406369807,99,56.04184019458559,1.009764521449105,94.6713884773655,82.43884044869664,99,93.78190100082527,98.22254310104724,38.59850307933812,62.744570972023965,98.70961774948856,60.03336134583273,84.07462308539698,91.5616878512738
arajan,5.0209531149104905,0.19291381789361062,1.7739489707853113,0.07220217,-2.223033996031746,2.3363845937341083,-2.396661037601885,4.738755383542798,1.2453210774222523,0.36101083,0.7942238,8.020375659726326,0.64981948,1.627830204099401,-2.7194506307017168,-2.377789610926869,1.9494586,0.72202166,0.36101083,3.4993558364761395,3.955918850346114,0.1263920849518887,10.272631153022907,0.0,3.3935018300000004,0.0,1.9168940375506238,0.8474361429082066,9.964326886798082,2.5,-0.9227873487479671,68.85357177235291,97.35550674704882,81.84787866063733,35.212758486475,22.622778270368634,88.7722275340879,1.3934344961347682,93.59751518651667,9.82621821314202,54.45225412021993,97.9097790230988,90.45793369906973,72.26162401261888,43.601097878010535,88.28660097748633,2.884250707463731,90.50991579970042,61.904616324922664,35.04379644570955,12.924315138031066,98.60089012411353,70.59269973426075,99,35.14827527205458,97.42239134480644,38.59850307933812,65.80412900068761,96.14007825134573,91.4222343176937,84.07462308539698,78.37794529564954
badeen,2.8165350590729847,-8.298923364781814,-2.333842358222183,0.19462826,1.0566458456762668,-1.7134006620264874,2.002086488853541,1.6180981307735762,3.0011549224143828,0.31140521,0.31140521,3.757911056993045,0.038925651,3.6348329319852097,-5.832820452308519,1.5332847047360585,1.7127287000000002,0.58388477,1.4791748,6.452358541917332,1.6816670647598373,-3.2294161380829562,4.296140426944805,0.15570261,0.85636435,0.038925651,0.48379432404646194,-1.8865672597850136,10.854990906910826,1.2845465,-5.308907301514145,17.58401713384954,26.562962645878063,14.458006207812005,50.90847047598347,90.78385096865178,3.6551005889248644,77.55038522273222,21.36639440092529,40.8669467653023,52.017474715683555,68.63611038848073,23.021963976844013,28.160332054502877,81.4387548240147,31.654440808238586,68.09860315204146,85.85115361574519,55.31859853329147,73.67617078511597,47.53140747800841,44.95410576329226,18.195162464606305,24.00593104381287,59.795474958580016,32.695764001623374,57.86841820486502,17.125471800850537,32.708977529109795,97.07937262867621,55.71225942154035,10.504414001824568
softwaregravy,2.7755879852367906,-1.489332729321073,-0.38815387491094466,0.27447392,-0.3030894569471627,0.7205878002474642,1.9159004586900052,1.9400715948809673,1.7988916892177644,0.18298261999999998,0.27447392,2.4381158545991077,0.13723696,1.5146968951896822,-2.9077080608768138,0.09875153322793473,1.8755719,1.6925892000000002,0.8691674,6.4899408139618595,3.489362770769329,-1.3884469014942866,6.400667204459515,0.045745654,0.7319304000000003,0.0,0.19459415764956023,0.4100774059133965,10.559047853111787,2.5,-3.5999563548079045,16.908553667475633,92.40360791168821,44.955553692982846,61.225874455586414,67.92921784248658,50.552797033381836,75.77656585525214,28.949581660009095,16.90576569815354,45.680105668360426,64.33528146384775,8.512772083626828,34.812729074885745,41.29023892238296,86.1971535260379,34.474800288119276,89.1927991056116,93.13682966457314,53.13644459240905,48.07509314953865,95.86279683689291,45.504336032046524,71.48083583872265,42.221934810850655,28.554873737373747,38.59850307933812,11.082475031831022,92.13379031919624,95.7049130977081,84.07462308539698,32.294076595472134
ajv,2.2549342717147045,-3.7266132142925494,1.8225469454188115,0.2955665,-0.8470010536447314,-1.0528651715547253,-0.4450098330587009,5.20304457081218,2.962831703259932,0.19704433999999998,0.68965517,7.167592992330829,0.7881773999999999,2.662739054146786,-6.003445600324202,1.0668123752973346,2.4630541,0.39408869999999996,0.68965517,4.550333817582155,3.0014598004303044,0.9540459531264217,8.004160846355049,0.0,2.2660098,0.0,2.479189579278665,-1.8018786545900114,8.57547177135056,1.182266,-4.1256428479955325,9.80033342139493,77.54311523316147,82.45304404723568,63.851037925203805,54.81212980721108,9.6147039058065,18.44545527084261,96.89913523392256,39.94298636439535,46.36262556861434,95.53900524014938,81.57892608888062,80.37827104945916,64.9312430219026,28.46447776603817,57.456882383200416,96.60624730692189,46.0950084297731,46.60493886454143,22.678544770476794,89.11752203243307,81.55545387114809,93.77893827544699,35.14827527205458,81.22629504504503,38.59850307933812,82.60729639469871,35.20505077678618,70.7828008595314,52.87995596646656,24.057577173472623
brandenspikes,5.4961059387279025,1.1866422093503406,0.881194895590951,0.29211296,-1.1641184721678628,1.985375934336017,0.6294321891049712,3.9916987877187715,1.8187445373381044,0.29211296,0.29211296,6.421171678401456,0.0,0.8162237017724019,-3.5507756641853243,-0.8657491326887736,1.2658228,0.9737099000000001,0.19474197,6.129390856884535,1.9292697517625743,1.5791669437488374,9.080404082382884,0.38948394,0.7789678,0.0,1.3756401304538477,0.9502654429266231,9.702040174165854,2.5,-1.2534256237487884,78.78376825139372,98.69516899904623,68.4784771879015,63.41491605152116,46.80105333753043,83.00457127018619,43.17754233031045,83.36489954934618,17.210930937146248,51.06352286609072,66.42049157618679,70.58305472856763,25.687734709530453,27.843843353880157,77.17060810268744,16.247981614785118,73.33165752319906,72.88769315357465,29.618664656221608,42.9030582401521,55.084525845879355,87.86665030972505,98.49507916649054,88.32943397027181,30.078185876623373,38.59850307933812,45.79405175947338,96.78159862079121,88.72914495480433,84.07462308539698,73.60454635442758
vincethompson,4.601430505650659,3.6380891668607767,1.465030701048247,0.20644097,-2.3448862078399784,3.700211982450959,-3.0684884375335706,4.669919352340204,3.672368005307683,0.37159373,0.61932285,6.5411151046578695,0.8257639000000001,0.7850708596056011,-4.940033258972485,-2.1306491183996017,2.5,2.3121387,0.5367465,0.472633516582607,4.343539928118476,0.3474264430941111,10.779419490301361,0.41288193,2.80759707,0.0,1.6890579444172917,1.635873846827699,11.035415988802859,2.5,0.47125138680177625,58.73328960745539,99,77.67516053703255,52.45987931074676,20.36898104981367,98.64394812609599,1,92.9450772435376,56.9296194636298,54.95542433649132,92.99957310521359,72.51727673163415,82.32167367181398,27.29787696469683,50.02071218055736,3.998833239727565,96.89273277769352,98.6940653041142,41.15518917055808,1.373661733569044,99,73.78754235886746,99,90.07856166445076,91.90999452533143,38.59850307933812,57.58314330897648,99,97.69611984837394,84.07462308539698,92.39350440870462
JitendraGupta,6.629115466419956,2.6936180091327917,3.3015121189976355,0.6499536,-3.442746735710826,3.727342212304763,-2.802202410002691,5.964833778057377,2.555326586399125,1.4856081,0.8356545999999999,9.503580438822727,0.37140204,-0.029569372870112076,-3.731673003146848,-3.712195022286262,2.5,2.5,1.2070566,1.6682476036744935,2.5203012911054,0.7353296773131742,11.697479358515693,0.09285051,3.0640667299999995,0.0,2.2923925168306822,1.2355394343301234,8.88780269980888,2.5,-0.09233411803734548,93.6847330365851,99,94.96293873973387,93.52788171566928,6.38117772319798,98.71810685628898,1,99,30.83182102717145,93.32872459765525,98.43242337880157,97.81163187581619,52.32217495074257,15.086408130913423,74.1528413161213,1,96.89273277769352,99,65.02819918380943,3.684970381623295,76.95224277117777,78.94455040781742,99,49.7610799973181,94.96787384259258,38.59850307933812,77.69578042001898,98.1101970156783,76.76979194324463,84.07462308539698,87.91689562484136
VCRebecca,5.331121223407276,1.7481872300594543,1.0443271660115288,0.20783849,-0.9749168889317179,3.4121046207473924,-0.745307350861912,2.462894650856303,2.1706717816873873,0.14845605,0.20783849,4.092091327635272,0.9798100000000001,-0.7574669280439146,0.6516089762742753,-2.023699757988953,0.8016627000000001,2.5,0.4750594,3.824530477313593,3.2982780033749854,0.2801196966487769,10.81770297232032,0.0,1.276722,0.029691213,1.3110297831752844,2.252160359522236,9.337685527809551,2.5,0.924229339291973,75.56680163426557,99,71.22002502415354,52.64342101072571,51.600078911053444,97.77426400819732,13.528338076397128,43.38505273515377,23.177914157051863,44.0000603357331,56.07102711091231,28.174468902261793,88.91030850087022,7.8581409632268855,99,4.610428515916145,56.162227637213256,99,38.95858430057265,15.568935480182494,93.8033146727781,72.8188211952904,99,35.14827527205458,47.981893939393935,53.3122034252321,43.38076757522362,99,84.08210875235211,84.07462308539698,94.98364760210741
jaredheyman,4.7377806974832755,-1.2935727456315524,0.9956672569587984,0.47862157,-2.5528171882375617,2.1664613061014975,-0.8083523672637237,3.929222848193776,3.7807192635710223,0.9572430999999999,0.47862157,6.309935681831211,1.0210593000000001,1.3559617748932458,-3.759289820848612,-0.4904930963967855,1.85067,1.3720485,0.22335673999999997,3.0607023946082603,2.408440390250207,0.03936023370474406,7.542620876828262,0.19144863,1.4996808700000002,0.031908104,1.8289378501062987,0.4675035726844108,8.97128625378059,2.5,-1.728118611803355,62.15148835528956,93.21354060652457,70.4232363037458,83.02900555969075,16.835776977844613,86.1917133683772,12.625467851430178,82.18498559369874,59.46838099265311,80.18922740587692,84.70290806421968,68.69575411402518,90.32665907415682,38.041894663375516,73.66486661580767,22.469244971299673,88.72118706800495,86.34097365978873,30.53463567310598,9.892312468864809,73.30344983677688,69.27177759845706,89.56918530784833,65.26908097972351,56.387305681818184,54.40764005562996,62.685127373289134,92.78976700232356,78.25801394546545,84.07462308539698,65.94265179325112
