'Twitter Account','raw_scores achievement_driven','raw_scores adjustment', 'raw_scores agreeable', 'raw_scores body_focus', 'raw_scores cold' ,'raw_scores conscientious',  'raw_scores depression', ' raw_scores extraversion', 'raw_scores family_oriented', 'raw_scores food_focus','raw_scores friend_focus', 'raw_scores happiness', 'raw_scores health_oriented','raw_scores impulsive', 'raw_scores independent','raw_scores insecure', 'raw_scores leisure_oriented', 'raw_scores money_oriented', 'raw_scores netspeak_focus', 'raw_scores neuroticism','raw_scores openness', 'raw_scores persuasive','raw_scores power_driven',  'raw_scores religion_oriented' , 'raw_scores reward_bias','raw_scores sexual_focus', 'raw_scores social_skills','raw_scores thinking_style','raw_scores type_a','raw_scores work_oriented','raw_scores workhorse','percentiles achievement_driven', 'percentiles adjustment', 'percentiles agreeable','percentiles body_focus', 'percentiles cold', 'percentiles conscientious', 'percentiles depression','percentiles extraversion', 'percentiles family_oriented', 'percentiles food_focus', 'percentiles friend_focus', 'percentiles happiness','percentiles health_oriented', 'percentiles impulsive', 'percentiles independent', 'percentiles insecure','percentiles leisure_oriented', 'percentiles money_oriented', 'percentiles netspeak_focus', 'percentiles neuroticism', 'percentiles openness','percentiles persuasive', 'percentiles power_driven', 'percentiles religion_oriented','percentiles reward_bias', 'percentiles sexual_focus', 'percentiles social_skills', 'percentiles thinking_style', 'percentiles type_a', 'percentiles work_oriented','percentiles workhorse'
billgates,5.37637364153842,0.9158983518849628,-1.007065800071703,0.10162601,-2.226445622071992,3.3071693589257753,-1.5203071915337278,4.816195504079248,3.1798292286715943,0.16937669,0.20325202,5.66739162956242,1.4905149,0.8377075952749076,-3.6862534809679257,-0.9855393995532589,1.6598916,1.1856369,0.20325202,2.587115083052387,3.8773813484875337,1.694995414430702,9.356326073025059,0.06775068,1.9647696700000001,0.37262873,1.995172770105675,0.347794659287327,12.670869868245259,2.5,-2.116766618809123,76.46520025702642,98.39408556622203,33.57824612943941,38.85973628059318,22.557221766069212,97.32328838956433,5.210515775569631,94.28549454820794,45.10130673185207,45.033203709476446,55.481085889971034,57.11009439079325,98.53547045738647,28.22035743559249,74.93760075733148,14.528979001691678,84.62353836127976,80.72846601503211,29.885592201470583,7.230522797811614,98.30321918013772,88.83611842725108,99,45.71725730262771,72.60358806818182,99,68.45603358919026,91.35915525252594,99,84.07462308539698,59.07076487570204
jeffbezos,6.313658032140171,3.5208166507615437,0.9168372845985542,0.25445292999999997,-2.739432210849526,2.8088177003009758,-2.1708959735691256,5.275040596897837,1.8421249742599688,0.0,0.8905852000000001,10.435209777488668,0.50890585,0.7812576589144662,-3.046627439953512,-1.5942833365580367,1.5267176,0.12722645999999999,0.8905852000000001,2.5141374933727647,1.6717358597227148,5.1190017749005525,9.899477116184366,0.25445292999999997,2.0356234000000004,0.12722645999999999,2.676548405932538,1.4805897203703715,10.075145542584767,2.5,0.98756985406226,90.75324738913208,99,69.08870847484171,58.659111037957025,14.02490040281423,94.12674680132983,1.9550167814984336,97.23316038165667,17.573165609419302,36.90316610452883,99,99,62.59959041023445,27.231049052128743,84.49193460410753,7.705853854593596,81.21468360170888,33.59818138489879,53.915725666341025,6.873085784662552,44.54457153495731,99,99,74.12063860872317,74.8130315249267,90.40036920670073,86.98696898384554,98.84087030786452,92.40221672803631,84.07462308539698,95.26391785331202
mikebloomberg,5.292441496239761,3.2295108479348937,0.2600600956801816,0.28044872,-2.487840838607866,4.540586473225569,-1.1281265303057788,5.353121445744637,2.4089385110288113,0.8012821,0.56089745,7.369423121862453,2.1233974,0.949153996265756,-2.166605213744441,-1.000447901343594,1.1217949,1.8028846,0.44070515,2.1365304812614916,4.070698501856119,1.670697460383371,10.974930907102861,0.12019231,1.2820513500000001,0.12019231,2.1425526789882836,2.121232808572525,12.893655019848046,2.5,0.7757448270392985,74.77957675586248,99,57.29360748728117,61.980387497531495,17.888040606021395,99,8.692061376165228,97.56822674126892,27.794632649120068,74.4198544489883,90.1032786117115,84.05620879491393,99,30.221608762688824,93.12680456872909,14.323503206577076,68.34868548621421,94.73769258075708,37.76570114370038,5.24896717404658,99,88.6343618007122,99,54.17156290248285,48.18376325757576,88.81602685689074,73.24004033390992,99,99,84.07462308539698,94.21664252822615
clippersteveb,6.655356361691269,2.7212927527212583,2.641558403784219,0.0,-3.5523537566137566,3.2621824584182644,-2.434232585830421,6.333737663043478,1.89118663301137,0.0,0.6437768,12.221803490198937,0.21459227,2.810601690697,-6.741876889699856,-0.351817397926133,2.5,0.6437768,0.6437768,4.023110405900182,1.4575142762613729,2.94087606813214,11.775825062156212,0.21459227,3.64806845,0.0,2.845659650667906,-0.07455885533902845,10.594598365215514,2.3605151,0.7079616631378913,93.89917024206119,99,90.73375695747451,26.88932439562619,5.562328213811339,97.12995018337351,1.2999766530923618,99,18.35129636664277,36.90316610452883,93.99500369798926,99,40.43899599051441,67.74586320221196,16.73541925950915,25.05102999029455,96.89273277769352,58.194053995357464,44.975666322830875,17.351652115734055,35.991381300548795,96.04171671360483,99,68.63365848468347,98.51889918254234,38.59850307933812,90.05749644288932,84.65344194687698,95.90324674032064,81.57315314189482,93.84791685432087
georgesoros,2.8373090088072086,-1.1561531703495207,-4.194156411919496,0.06246096500000001,1.498421865655083,3.529601289337571,-0.08652974693595272,0.8246805528893524,2.2553065039466422,0.06246096500000001,0.06246096500000001,0.179789046325868,1.748907,3.005243240611837,0.5390138230495094,1.0657000998848738,0.9056839000000001,1.5302936,0.031230481999999997,7.707445839425251,5.762093280312341,-2.897558967203099,9.355704833667698,0.09369144,-0.1561522999999998,0.24984386000000003,-0.1723750444614613,2.574617389736026,12.113899670593478,2.5,-0.12047087075109153,17.927894072390927,93.73970161520856,2.5915782842969195,34.02817507791351,94.59315765275194,98.17759482106268,25.581480052906002,8.350495927168621,24.750311630412433,39.83444795092109,37.64040405751092,1,99,71.34064564689514,99,57.43093949444591,60.265911123616725,90.11484660341877,24.694006330489863,65.26683865012726,99,22.227574093223698,99,49.89694077770211,7.967025448143408,99,5.834541738027315,99,99,84.07462308539698,87.6499409790312
MichaelDell,8.067352864321608,6.818968535057103,4.517070549516908,0.0,-4.815745786435786,5.470772287302724,-4.162858018051166,7.39042777173913,2.2323826960364435,0.0,1.7137097000000001,12.351535689961157,0.2016129,-1.7687788056745437,-4.709321505843279,-3.3317549969645874,2.4193548,2.5,0.907258,-1.070342108953905,1.6152398784906847,5.112359781427456,12.095348864343196,0.10080645,3.7298386499999996,0.0,4.755731735128063,0.5641210271745115,10.650439739230016,2.5,0.917558524220524,99,99,98.62642150315286,26.88932439562619,1,99,1,99,24.317460272591457,36.90316610452883,99,99,39.46680348009265,2.6197589222341446,54.92658922493347,1,96.2673946999238,99,54.50227033777493,1,42.245038798203204,99,99,51.04644288969723,98.8035826439951,38.59850307933812,99,93.80295078561615,96.17512959664293,84.07462308539698,94.94918913280915
Carl_C_Icahn,5.635053424096245,2.2739818870965287,1.3482704236242937,0.10413051,-3.36444373964037,4.213955788978759,-0.009703007035656519,3.7389265543059294,2.249071124602381,0.10413051,0.10413051,6.812516459183131,0.06942034,-1.3172948019700468,-2.0224741357719784,-1.2712103455267463,0.5553627400000001,2.5,0.52065253,3.0769307488400783,1.8255924117728153,1.5169824420769087,9.381025213694498,0.06942034,0.7983339,0.0,1.5210102919726078,1.0357040261206112,9.973566699073988,2.5,0.11356931987653907,81.27971706412585,99,75.97834407394976,39.176010953143134,7.010791218480715,99,27.300202818320784,78.26294934944603,24.632574105029857,41.85411255938991,42.818693094712856,76.6931630306397,30.148793294210247,4.392373460061669,94.09129836474452,10.946112293657356,46.270974860680695,99,40.575821831207556,9.991790534465801,50.84917161949754,87.31869199250035,99,45.97663280925084,30.733154085497837,38.59850307933812,51.28704983813085,97.23642240187057,91.50761105738088,84.07462308539698,89.72095279046988
RepCohen,3.8191276980456816,-0.09383485724840845,0.021837042414598606,0.15368853000000002,-0.9369815106973195,2.6916630261196306,-0.7036369756822474,2.755460305890818,2.1531039795241456,0.56352457,0.30737706000000004,3.766795814817997,0.56352457,1.1116094494964817,-1.6560445983313847,-1.1653673780746197,1.6393442,1.38319675,0.9221312,4.269172312104365,3.7787148985288903,-0.31269167245717877,10.214858944858625,0.0,1.9467213300000001,0.10245900999999999,0.7410667612228643,1.3787775936550715,10.065613032541604,2.5,-1.2248792624949427,38.80877732645581,96.80589869875655,52.777316249560855,45.54970922303923,52.56229522644719,93.04181474866718,14.147666138481869,52.03297122170209,22.85624790852597,64.1519673930574,68.1734974263461,23.151279579920196,66.48965050027262,33.27207168199793,96.0652564858004,12.188210813299097,84.13037899204161,86.63669385949396,55.02351865900404,19.741835564640994,97.88877241242412,63.75389144982764,99,35.14827527205458,72.03388036616161,84.02637780938221,24.009128465671242,98.53729424185116,92.32281950459853,84.07462308539698,74.04540630022132
elonmusk,2.509436343764687,-2.2909499388106043,0.9600456656954417,0.18185492,-1.1599116881436677,0.3358760937984271,0.621247304673251,2.5579405049114228,1.5895247877789567,0.22226711999999998,0.10103051,4.048166991643074,0.44453423000000003,0.7967868405601886,-1.8701442511575186,-0.547166007178,0.9294807,0.8890685,0.34350373,4.70666889928238,3.092863134494762,0.3701651056151778,7.645745555047277,0.060618309999999995,1.0709235000000001,0.020206103,1.4450775115753773,0.26167598643457735,6.429397551259628,2.5,-3.1761430161784743,12.928990971985696,88.31120608910021,69.82847667606221,49.23089839257202,46.90775680041426,39.26111220470195,42.95772105426384,46.1674982898715,13.907064071705728,47.60982678324059,42.43528741685075,27.471229453139184,57.84630779217093,27.50320435611967,94.99786198204178,21.4446187140513,61.1885354812394,69.36968200409086,34.45398971133897,24.40414669170863,90.77447378114209,74.11110793937236,90.65585516502215,44.593640798462594,40.30649621212122,48.555543143749894,48.41352929329715,90.20578149524485,23.50259934518983,84.07462308539698,39.625576365581765
ericschmidt,6.3680366649928795,3.359717012101486,2.112554072417759,0.15278839,-3.4576644779747907,3.240965212663685,-1.5468610120365107,4.729069219643668,2.482202079744414,0.19098547999999999,0.076394196,6.547047570702271,0.4201681,-0.44480644061631147,-2.6034571005728235,-1.0778639332847624,1.3368984,1.8334606999999998,0.30557679,3.30856719703379,2.849062420538915,2.2754169159244566,10.983530719363689,0.0,2.1390374700000003,0.076394196,2.359138482246502,0.7267629848618637,10.89002533650476,2.5,-0.6262230248130048,91.32105052647756,99,85.81123150459513,45.43603723911065,6.261436327791186,97.03876576772755,5.010893008295665,93.50649093290922,29.27955161463516,46.063030617096295,39.349825017359,72.61225697570079,56.01502747240129,10.569329503715595,89.45511904783733,13.288845238421674,75.64365916196019,95.1292583416094,33.20566701414093,11.544040875182851,85.91711388329229,92.90270327619534,99,35.14827527205458,77.82224144857668,74.81705387516733,79.530760071652,95.24849641816908,97.19913085086554,84.07462308539698,82.19802328299295
