Twitter Account,Word Count,Analytical Thinking,Clout,Authentic,Emotional tone,Words/sentence,Words > 6 letters,Dictionary words,Total function words,Total pronouns,Personal pronouns,1st pers singular,1st pers plural,2nd person,3rd pers singular,3rd pers plural,Impersonal pronouns,Articles,Prepositions,Auxiliary verbs,Common Adverbs,Conjunctions,Negations,Common verbs,Common adjectives,Comparisons,Interrogatives,Numbers,Quantifiers,Affective processes,Positive emotion,Negative emotion,Anxiety,Anger,Sadness,Social processes,Family,Friends,Female references,Male references,Cognitive processes,Insight,Causation,Discrepancy,Tentative,Certainty,Differentiation,Perceptual processes,See,Hear,Feel,Biological processes,Body,Health,Sexual,Ingestion,Drives,Affiliation,Achievement,Power,Reward,Risk,Past Focus,Present Focus,Future Focus,Relativity,Motion,Space,Time,Work,Leisure,Home,Money,Religion,Death,Informal Language,Swear words,Netspeak,Assent,Nonfluencies,Fillers,All Puntuations,Periods,Commas,Colons,Semicolons,Question marks,Exclamation marks,Dashes,Quotation marks,Apostrophes,Parentheses,Other punctuation
mrmawhinney,1213,94.30064,66.89047,33.634594,93.74261,9.942623,0.2506183,0.7114592,0.34954658,0.04946414,0.030502886,0.0041220114,0.004946414,0.008244023,0.002473207,0.01071723,0.018961253,0.06347898,0.12448475,0.05358615,0.034624897,0.028854081,0.004946414,0.11046991,0.058532562,0.016488045,0.0032976093,0.02473207,0.013190437,0.05441055,0.048639737,0.004946414,0.0,0.002473207,0.0008244023,0.058532562,0.002473207,0.002473207,0.0032976093,0.004946414,0.06677659,0.009068426,0.023083264,0.0065952186,0.005770816,0.009892828,0.017312448,0.016488045,0.005770816,0.002473207,0.008244023,0.008244023,0.0016488046,0.0041220114,0.0008244023,0.0016488046,0.10305029,0.019785656,0.028029678,0.03957131,0.027205275,0.0016488046,0.015663644,0.086562246,0.004946414,0.16323166,0.016488045,0.078318216,0.06760099,0.08244023,0.012366035,0.0032976093,0.02143446,0.0016488046,0.0016488046,0.017312448,0.0016488046,0.009068426,0.005770816,0.0008244023,0.0,0.22671063,0.11871393,0.019785656,0.005770816,0.0,0.005770816,0.028854081,0.011541632,0.011541632,0.009068426,0.0041220114,0.011541632
axe9,726,53.47501,82.90803,10.995043,62.340275,8.344828,0.2093664,0.78650135,0.4889807,0.130854,0.079889804,0.019283747,0.008264462,0.030303031,0.012396694,0.009641874,0.050964188,0.041322313,0.12672177,0.110192835,0.053719006,0.048209365,0.017906336,0.1694215,0.024793388,0.015151516,0.019283747,0.015151516,0.017906336,0.0785124,0.048209365,0.02892562,0.002754821,0.009641874,0.002754821,0.11707989,0.002754821,0.0013774105,0.004132231,0.013774104,0.09641873,0.017906336,0.011019284,0.022038568,0.024793388,0.011019284,0.020661157,0.012396694,0.006887052,0.004132231,0.0013774105,0.012396694,0.002754821,0.002754821,0.0013774105,0.004132231,0.073002756,0.016528925,0.023415977,0.0261708,0.015151516,0.005509642,0.015151516,0.11983471,0.02892562,0.11294766,0.017906336,0.060606062,0.038567495,0.013774104,0.005509642,0.002754821,0.008264462,0.002754821,0.0013774105,0.012396694,0.002754821,0.0013774105,0.0013774105,0.002754821,0.0,0.28099173,0.16253443,0.03443526,0.0,0.0013774105,0.019283747,0.022038568,0.0,0.011019284,0.024793388,0.0,0.005509642
justpw,1942,72.19665,81.2077,48.34535,99.0,9.203792,0.16271885,0.8516993,0.48197734,0.13079299,0.078269824,0.02008239,0.024201853,0.026776519,0.0005149331,0.0066941297,0.052523173,0.0592173,0.14418125,0.08702369,0.048918642,0.04376931,0.015447992,0.17559217,0.059732236,0.020597322,0.019567456,0.017507724,0.022142122,0.07929969,0.0700309,0.009268795,0.0025746652,0.0015447992,0.0015447992,0.10916581,0.0005149331,0.0020597323,0.0005149331,0.0015447992,0.12873326,0.03192585,0.021627188,0.02008239,0.022657055,0.013388259,0.03553038,0.013388259,0.0041194647,0.005664264,0.0025746652,0.0123583935,0.0015447992,0.0010298662,0.0,0.0046343976,0.11122554,0.045829043,0.027291453,0.023171987,0.024716787,0.0046343976,0.03038105,0.12976313,0.012873326,0.14057672,0.016477859,0.0700309,0.054582905,0.051493306,0.013903192,0.0020597323,0.025231719,0.0010298662,0.0020597323,0.015447992,0.0005149331,0.008238929,0.0051493305,0.0010298662,0.0,0.29351184,0.14057672,0.025746653,0.014418126,0.0015447992,0.008753862,0.014933059,0.009783728,0.010298661,0.03501545,0.01699279,0.015447992
benmillerise,786,92.06705,79.22915,27.60014,75.37118,9.469879,0.2302799,0.75063616,0.38804072,0.08015267,0.049618322,0.006361323,0.022900764,0.012722646,0.003816794,0.003816794,0.030534351,0.07888041,0.12086514,0.05470738,0.027989822,0.034351144,0.010178117,0.10687023,0.043256998,0.011450382,0.01908397,0.03307888,0.015267176,0.061068702,0.043256998,0.01653944,0.0,0.003816794,0.0050890585,0.0826972,0.0012722646,0.003816794,0.0025445293,0.008905852,0.07633588,0.015267176,0.01653944,0.012722646,0.012722646,0.013994911,0.01908397,0.015267176,0.008905852,0.0025445293,0.003816794,0.008905852,0.0012722646,0.0025445293,0.0012722646,0.003816794,0.10941476,0.030534351,0.031806614,0.03562341,0.025445292,0.003816794,0.020356234,0.07888041,0.013994911,0.15012723,0.022900764,0.077608146,0.047073793,0.06615776,0.012722646,0.007633588,0.048346058,0.0,0.0025445293,0.007633588,0.0012722646,0.003816794,0.0025445293,0.0,0.0,0.30788803,0.13486005,0.022900764,0.030534351,0.0050890585,0.007633588,0.008905852,0.027989822,0.030534351,0.022900764,0.0025445293,0.013994911
AndrewYangVFA,1577,96.930244,92.30647,33.174686,99.0,8.810056,0.2136969,0.81610656,0.4565631,0.10019024,0.05960685,0.0057070386,0.008877615,0.043119848,0.0006341154,0.0012682308,0.040583387,0.07102092,0.19784401,0.055802155,0.03170577,0.02219404,0.0019023463,0.15662651,0.051997464,0.012048192,0.006341154,0.020925809,0.017121116,0.10526316,0.09765378,0.006341154,0.0012682308,0.0012682308,0.0025364617,0.10462904,0.003170577,0.010779962,0.0006341154,0.012048192,0.06531389,0.019023463,0.014584654,0.012682308,0.013950539,0.006341154,0.0057070386,0.019657578,0.011414077,0.003170577,0.0050729234,0.014584654,0.0006341154,0.0025364617,0.0,0.0044388077,0.09575143,0.031071655,0.02346227,0.02346227,0.029169308,0.003170577,0.017121116,0.12111604,0.018389346,0.16677235,0.017121116,0.09575143,0.05389981,0.04819277,0.012048192,0.0006341154,0.007609385,0.0,0.0,0.010145847,0.0006341154,0.0012682308,0.003170577,0.0019023463,0.0,0.19150285,0.1027267,0.003170577,0.0025364617,0.0,0.0,0.05897273,0.003170577,0.0,0.018389346,0.0,0.0025364617
peretti,1053,75.3188,82.1584,35.113903,89.4061,8.16279,0.19848053,0.8091168,0.4453941,0.11585945,0.07692308,0.01994302,0.018993352,0.027540362,0.0066476734,0.0037986704,0.038936373,0.05603039,0.12820514,0.061728396,0.050332382,0.050332382,0.0151946815,0.14814815,0.05698006,0.0151946815,0.018043684,0.018043684,0.02374169,0.05982906,0.048433047,0.010446344,0.0009496676,0.0,0.0018993352,0.10731244,0.0037986704,0.0037986704,0.0028490028,0.004748338,0.10826211,0.020892687,0.021842355,0.01614435,0.017094018,0.01614435,0.026590694,0.030389363,0.018993352,0.0066476734,0.0037986704,0.011396011,0.0028490028,0.0056980057,0.0009496676,0.0028490028,0.09876543,0.042735044,0.01614435,0.02374169,0.01994302,0.004748338,0.036087368,0.09876543,0.011396011,0.14245014,0.020892687,0.08262108,0.03988604,0.037986703,0.03133903,0.0056980057,0.012345679,0.0009496676,0.0009496676,0.02374169,0.0,0.014245015,0.0056980057,0.0037986704,0.0,0.2820513,0.11490978,0.0322887,0.0066476734,0.0028490028,0.01994302,0.05698006,0.0075973407,0.004748338,0.027540362,0.0018993352,0.0066476734
rr,713,86.07827,71.26699,35.64092,62.99138,5.401515,0.20476858,0.7489481,0.41795233,0.099579245,0.047685836,0.016830295,0.008415148,0.018232819,0.002805049,0.0014025245,0.05189341,0.06732118,0.13043478,0.06171108,0.042075735,0.03085554,0.016830295,0.12342216,0.050490882,0.029453015,0.018232819,0.023842918,0.022440393,0.05890603,0.037868164,0.018232819,0.0,0.005610098,0.004207574,0.085553996,0.002805049,0.0,0.0,0.007012623,0.079943895,0.008415148,0.014025246,0.007012623,0.01542777,0.019635344,0.021037867,0.023842918,0.012622721,0.007012623,0.004207574,0.014025246,0.004207574,0.007012623,0.0,0.002805049,0.072931275,0.019635344,0.018232819,0.018232819,0.018232819,0.009817672,0.019635344,0.100981764,0.01542777,0.15147266,0.023842918,0.079943895,0.05189341,0.037868164,0.023842918,0.002805049,0.022440393,0.0,0.0014025245,0.019635344,0.0014025245,0.014025246,0.002805049,0.0014025245,0.0,0.3828892,0.2510519,0.03085554,0.007012623,0.0014025245,0.019635344,0.005610098,0.009817672,0.019635344,0.023842918,0.002805049,0.011220196
jennylawton,1758,90.05951,64.43475,51.82784,91.44282,8.660098,0.18998863,0.7918089,0.3993174,0.07679181,0.051194537,0.021615472,0.0039817975,0.018202502,0.005688282,0.0017064846,0.025597269,0.05745165,0.14562002,0.05346985,0.040955633,0.043230943,0.013651877,0.10921501,0.087030716,0.014220705,0.013083049,0.03469852,0.007963595,0.08589306,0.06313993,0.022753129,0.002844141,0.014220705,0.0017064846,0.06712173,0.0034129692,0.0022753128,0.0022753128,0.009101251,0.06427759,0.009101251,0.010807736,0.0085324235,0.010807736,0.016496018,0.014789534,0.07337884,0.034129694,0.015358361,0.021046644,0.030147895,0.010238908,0.0034129692,0.007963595,0.0062571103,0.0625711,0.019908987,0.0045506256,0.023890786,0.010807736,0.005119454,0.016496018,0.08134244,0.0045506256,0.1814562,0.018771332,0.07963595,0.087030716,0.022184301,0.014220705,0.0039817975,0.0034129692,0.0039817975,0.0005688282,0.014220705,0.0022753128,0.0022753128,0.010238908,0.0005688282,0.0,0.2440273,0.11262798,0.015358361,0.0022753128,0.0022753128,0.013083049,0.011945393,0.0017064846,0.062002275,0.017064847,0.0011376564,0.0045506256
BradUSV,2525,92.197525,62.144848,46.765682,60.303505,12.377451,0.20118812,0.7437624,0.41742575,0.07960396,0.047128715,0.018217823,0.009504951,0.010297029,0.0027722772,0.0063366336,0.032475248,0.07287129,0.14178218,0.063762374,0.028118812,0.037227724,0.012277228,0.13227722,0.047128715,0.017821781,0.011089109,0.018613862,0.015841585,0.047524754,0.032871287,0.014653466,0.0035643564,0.0043564355,0.001980198,0.07445545,0.0015841584,0.003960396,0.0007920792,0.0059405942,0.09504951,0.023762377,0.015049505,0.015049505,0.023366336,0.0063366336,0.03207921,0.023762377,0.011089109,0.0067326734,0.0047524753,0.015049505,0.003960396,0.0035643564,0.0,0.0071287127,0.08039604,0.025346534,0.012277228,0.025742574,0.015049505,0.0067326734,0.015841585,0.09584159,0.015445544,0.1489109,0.02019802,0.07841584,0.053861387,0.034851484,0.0118811885,0.0027722772,0.013465347,0.0003960396,0.0011881188,0.017821781,0.0007920792,0.013861386,0.0035643564,0.0003960396,0.0,0.15683168,0.09227723,0.009108911,0.0043564355,0.0011881188,0.0071287127,0.0007920792,0.0027722772,0.0023762377,0.011089109,0.0031683168,0.022574257
iRowan,2116,86.86892,91.97799,30.046986,99.0,7.8955226,0.20699432,0.7769376,0.407845,0.11720227,0.08601134,0.02079395,0.014650283,0.043950852,0.0033081286,0.0033081286,0.031190926,0.06143667,0.13563327,0.057655953,0.034499057,0.027882798,0.008034026,0.14981097,0.047731567,0.014650283,0.013705104,0.025519848,0.016068053,0.08553875,0.07230624,0.012759924,0.002362949,0.0037807184,0.0037807184,0.12665406,0.0,0.0056710774,0.0004725898,0.007088847,0.06852552,0.012287335,0.016540643,0.010396975,0.014177694,0.009924386,0.015122874,0.02221172,0.009451796,0.008979206,0.002362949,0.011814745,0.004725898,0.0037807184,0.0004725898,0.0028355387,0.09215501,0.037334595,0.02362949,0.025519848,0.016540643,0.0042533083,0.02126654,0.115311906,0.011342155,0.14413989,0.02079395,0.07230624,0.054347824,0.057655953,0.017958412,0.0004725898,0.014650283,0.0014177694,0.0004725898,0.010869565,0.0009451796,0.004725898,0.002362949,0.0018903592,0.0,0.3010397,0.16587901,0.027410207,0.013232514,0.0028355387,0.006616257,0.0004725898,0.016540643,0.017485822,0.036389414,0.006616257,0.007561437
